SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,711 Quaker Rd,Chappaqua,NY,10514,1249000,5,3.5,Chappaqua,3957,75123,1850,2,Garage,117,Active,,,,2016-05-05,1295000,,,http://www.redfin.com/NY/Chappaqua/711-Quaker-Rd-10514/home/20090788,"Hudson Gateway Multiple Listing Service, Inc.",4608243,"William Raveis-New York, LLC",N,Y,41.188918,-73.78483,false
MLS Listing,Single Family Residential,1177 Hardscrabble Rd,Chappaqua,NY,10514,1049000,4,3.5,Chappaqua,3560,47916,1822,1,Garage,119,Active,,,,2016-07-24,1095000,,,http://www.redfin.com/NY/Chappaqua/1177-Hardscrabble-Rd-10514/home/20092413,"Hudson Gateway Multiple Listing Service, Inc.",4612435,Douglas Elliman Real Estate,N,Y,41.179943,-73.785789,false
MLS Listing,Single Family Residential,2 Meadow Hill Way,Chappaqua,NY,10514,3995000,6,5,Chappaqua,6000,230414,2016,3,Garage,123,Active,,,,,3995000,2006-12-26,909500,http://www.redfin.com/NY/Chappaqua/2-Meadow-Ln-10514/home/20087661,"Hudson Gateway Multiple Listing Service, Inc.",4612323,Houlihan Lawrence Inc.,N,Y,41.16571,-73.77923,false
MLS Listing,Single Family Residential,34 Ludlow Dr,Chappaqua,NY,10514,1525000,4,4.5,Chappaqua,4057,77972,1935,2,Garage,129,Active,,,,2016-05-25,1600000,2013-02-25,364000,http://www.redfin.com/NY/Chappaqua/34-Ludlow-Dr-10514/home/20094450,"Hudson Gateway Multiple Listing Service, Inc.",4608518,Houlihan Lawrence Inc.,N,Y,41.198191,-73.769738,false
MLS Listing,Single Family Residential,380 Whippoorwill Rd,Chappaqua,NY,10514,450000,3,1,Chappaqua,820,99752,1927,1,Garage,129,Active,,,,,450000,,,http://www.redfin.com/NY/Chappaqua/380-Whippoorwill-Rd-10514/home/20089670,"Hudson Gateway Multiple Listing Service, Inc.",4611544,Coldwell Banker Res Brokerage,N,Y,41.166276,-73.7437099,false
MLS Listing,Single Family Residential,51 Granite Ct,Chappaqua,NY,10514,1999500,5,4,Chappaqua,5374,50843,1901,0,,130,Active,,,,,1999500,2008-05-09,1450000,http://www.redfin.com/NY/Chappaqua/51-Granite-Ct-10514/home/20032121,"Hudson Gateway Multiple Listing Service, Inc.",4610362,Nest Seekers Westchester LLC,N,Y,41.189542,-73.791516,false
MLS Listing,Single Family Residential,715 King St,Chappaqua,NY,10514,2600000,7,7,Chappaqua,8699,271378,2001,2,Garage,130,Active,,,,,2600000,2000-08-03,1610000,http://www.redfin.com/NY/Chappaqua/715-King-St-10514/home/20085764,"Hudson Gateway Multiple Listing Service, Inc.",4609285,"William Raveis-New York, LLC",N,Y,41.148396,-73.75107,false
MLS Listing,Single Family Residential,94 Haights Cross Rd,Chappaqua,NY,10514,2475000,4,5.5,Chappaqua,5579,227818,1994,3,Garage,133,Active,,,,,2475000,,,http://www.redfin.com/NY/Chappaqua/94-Haights-Cross-Rd-10514/home/20031594,"Hudson Gateway Multiple Listing Service, Inc.",4610305,Houlihan Lawrence Inc.,N,Y,41.159672,-73.744934,false
MLS Listing,Single Family Residential,Lot 1 65 Leroy Rd,Chappaqua,NY,10514,2295000,4,5.5,Chappaqua,6100,41817,2016,3,Garage,133,Active,,,,,2295000,,,http://www.redfin.com/NY/Chappaqua/65-Leroy-Rd-10514/home/104200744,"Hudson Gateway Multiple Listing Service, Inc.",4607623,Houlihan Lawrence Inc.,N,Y,41.1579791,-73.7846117,false
MLS Listing,Single Family Residential,98 N Old Farm Rd,Chappaqua,NY,10514,1450000,4,4.5,Chappaqua,5800,62290,1995,3,Garage,137,Active,,,,,1350000,2003-08-18,1450000,http://www.redfin.com/NY/Chappaqua/98-Old-Farm-Rd-N-10514/home/19996435,"Hudson Gateway Multiple Listing Service, Inc.",4609720,"William Raveis-New York, LLC",N,Y,41.144862,-73.768805,false
MLS Listing,Single Family Residential,35 Ivy Hill Rd,Chappaqua,NY,10514,3169000,5,4.5,Chappaqua,6000,119790,1942,3,Garage,139,Active,,,,,3169000,2015-10-15,1250000,http://www.redfin.com/NY/Chappaqua/35-Ivy-Hill-Rd-10514/home/20087324,"Hudson Gateway Multiple Listing Service, Inc.",4609594,William Raveis-New York LLC,N,Y,41.173571,-73.7459329,false
MLS Listing,Single Family Residential,735 King St,Chappaqua,NY,10514,1495000,4,3,Chappaqua,4311,91706,1906,2,Garage,140,Active,,,,2016-06-03,1549000,2010-09-01,915000,http://www.redfin.com/NY/Chappaqua/735-King-St-10514/home/20088732,"Hudson Gateway Multiple Listing Service, Inc.",4609016,"William Raveis-New York, LLC",N,Y,41.147611,-73.752465,false
MLS Listing,Single Family Residential,50 Haights Cross Rd,Chappaqua,NY,10514,1439000,4,2,Chappaqua,2457,293594,1960,1,,140,Active,,,,,1439000,,,http://www.redfin.com/NY/Chappaqua/50-Haights-Cross-Rd-10514/home/20088739,"Hudson Gateway Multiple Listing Service, Inc.",4604135,Houlihan Lawrence Inc.,N,Y,41.153787,-73.746061,false
MLS Listing,Single Family Residential,68 Random Farms Dr,Chappaqua,NY,10514,1249999,5,5.5,Chappaqua,7834,73838,1990,2,Garage,142,Active,,,,2016-05-30,1335000,,,http://www.redfin.com/NY/Chappaqua/68-Random-Farms-Dr-10514/home/20094465,"Hudson Gateway Multiple Listing Service, Inc.",4608817,"William Raveis-New York, LLC",N,Y,41.2027069,-73.7804419,false
MLS Listing,Single Family Residential,41 Stornowaye St,Chappaqua,NY,10514,1299000,4,3.5,Chappaqua,4092,99804,1969,2,Garage,143,Active,,,,2016-06-09,1369000,,,http://www.redfin.com/NY/Chappaqua/41-Stornowaye-St-10514/home/20086100,"Hudson Gateway Multiple Listing Service, Inc.",4607788,Houlihan Lawrence Inc.,N,Y,41.164527,-73.747206,false
MLS Listing,Single Family Residential,118 Hardscrabble Lake Dr,Chappaqua,NY,10514,1949000,4,4.5,Chappaqua,6515,74052,1996,3,Garage,151,Active,,,,,1949000,2009-08-20,1975000,http://www.redfin.com/NY/Chappaqua/118-Hardscrabble-Lake-Dr-10514/home/19996434,"Hudson Gateway Multiple Listing Service, Inc.",4602904,"William Raveis-New York, LLC",N,Y,41.151131,-73.79492,false
MLS Listing,Single Family Residential,391 Bedford Rd,Chappaqua,NY,10514,885000,4,3,Chappaqua,3124,85813,1969,2,Garage,158,Active,,,,2016-04-29,929000,1999-08-24,490000,http://www.redfin.com/NY/Chappaqua/391-Bedford-Rd-10514/home/20089723,"Hudson Gateway Multiple Listing Service, Inc.",4605556,Houlihan Lawrence Inc.,N,Y,41.169875,-73.756345,false
MLS Listing,Single Family Residential,188 Orchard Ridge Rd,Chappaqua,NY,10514,1249000,7,5.5,Chappaqua,5611,131115,1897,3,Garage,168,Active,,,,2016-04-25,1350000,,,http://www.redfin.com/NY/Chappaqua/188-Orchard-Ridge-Rd-10514/home/20090063,"Hudson Gateway Multiple Listing Service, Inc.",4554015,Douglas Elliman Real Estate,N,Y,41.165841,-73.762791,false
MLS Listing,Single Family Residential,56 Annandale Dr,Chappaqua,NY,10514,1395000,4,4.5,Chappaqua,4543,60983,2006,3,Garage,175,Active,,,,,1395000,1998-03-06,455000,http://www.redfin.com/NY/Chappaqua/56-Annandale-Rd-10514/home/20090280,"Hudson Gateway Multiple Listing Service, Inc.",4603794,Douglas Elliman Real Estate,N,Y,41.1796549,-73.741846,false
MLS Listing,Single Family Residential,5 Berol Close,Chappaqua,NY,10514,1339000,4,3,Chappaqua,2808,54885,1981,2,Garage,181,Active,,,,2016-04-19,1395000,2011-09-23,867500,http://www.redfin.com/NY/Chappaqua/5-Berol-Close-10514/home/20089298,"Hudson Gateway Multiple Listing Service, Inc.",4602809,"William Raveis-New York, LLC",N,Y,41.160957,-73.7423139,false
MLS Listing,Single Family Residential,42 Seven Bridges Rd,Chappaqua,NY,10514,1575000,5,3.5,Chappaqua,3541,91476,1785,0,,181,Active,,,,2016-05-23,1650000,,,http://www.redfin.com/NY/Chappaqua/42-Seven-Bridges-Rd-10514/home/20090782,"Hudson Gateway Multiple Listing Service, Inc.",4554288,"William Raveis-New York, LLC",N,Y,41.189329,-73.772344,false
MLS Listing,Single Family Residential,41 Pond Hill Rd,Chappaqua,NY,10514,4500000,7,9,Chappaqua,7800,471319,2001,3,Garage,182,Active,,,,,4500000,,,http://www.redfin.com/NY/Chappaqua/41-Pond-Hill-Rd-10514/home/20087972,"Hudson Gateway Multiple Listing Service, Inc.",4602823,Houlihan Lawrence Inc.,N,Y,41.170341,-73.7838,false
MLS Listing,Vacant Land,70 Leroy Rd,Chappaqua,NY,10514,589000,,,Chappaqua,,46609,,0,,182,Active,,,,,589000,,,http://www.redfin.com/NY/Chappaqua/70-Leroy-Rd-10514/home/39986107,"Hudson Gateway Multiple Listing Service, Inc.",4603125,BHG Rand Realty,N,Y,41.1576669,-73.7853379,false
